,OCR Text,Ground Truth,Lexical Correction
364,"It seems to me rather a stimulant than a soothing potion,'' he remarked, after emptying the phial.","“It seems to me rather a stimulant than a soothing potion,” he remarked, after emptying the phial.","It seems to me rather a stimulant than a soothing potion,'' he remarked, after emptying the phial."
365,"You are in no condition to judge,'' rejoined the other.","“You are in no condition to judge,” rejoined the other.","You are in no condition to judge,'' rejoined the other."
366,"uick :'' I am too weak to stir,'' groaned Auriol.","quick!” “I am too weak to stir,” groaned Auriol.","quick :'' I am too weak to stir,'' groaned Auriol."
367,Auriol Darey?'' cried Thorneycrnft.,Auriol Darcy?” cried Thorneycroft.,Auriol Darey?'' cried Thorneycrnft.
368,"Conviuced that I wus proof against deatl, I went forth.","Convinced that I was proof against death, I went forth.","Conviuced that I was proof against death, I went forth."
369,"The walls were covered with circles squares, and disgrams, and in some places were ornamented with grotesque carvings.","The walls were covered with circles, squares, and diagrams, and in some places were ornamented with grotesque carvings.","The walls were covered with circles squares, and diagrams, and in some places were ornamented with grotesque carvings."
370,"Why don't you look where ye're goin', and not dhrive into people in that way 7'' 'Axes pardon, Molly,'' said the bricklayer; 'but I was so interested in tlem antiquaries, that I didn't obsarre ye.'' Antiquaries be hanged1","Why don’t you look where ye’re goin’, and not dhrive into people in that way?” “Axes pardon, Molly,” said the bricklayer; “but I was so inter est ed in them antiquaries, that I didn’t obsarve ye.” “Antiquaries be hanged!","Why don't you look where ye're goin', and not shrive into people in that way 7'' 'Axes pardon, Molly,'' said the bricklayer; 'but I was so interested in ylem antiquaries, that I didn't observe ye.'' Antiquaries be hanged1"
371,"Look forth, then,'' said tha old man.","“Look forth, then,” said the old man.","Look forth, then,'' said tha old man."
372,"Oer the ruinous walls on the right hung the crescent moon, now emerged from tho cloud, and shedding a ghostly glimmer on the scene.","Over the ruinous walls on the right hung the crescent moon, now emerged from the cloud, and shedding a ghostly glimmer on the scene.","Oer the ruinous walls on the right hung the crescent moon, now emerged from tho cloud, and shedding a ghostly glimmer on the scene."
373,"Do not despair,'' rejoined Reeks.","“Do not despair,” rejoined Reeks.","Do not despair,'' rejoined Reeks."
374,It's all a trick.,It’s all a trick.,It's all a trick.
375," IT erening of the third day arrived, and Auriol entered Hyde Park by Stanhope-gate.","Chapter 5 The Meeting near the Statue The evening of the third day arrived, and Auriol entered Hyde Park by Stanhope Gate."," IT evening of the third day arrived, and Auriol entered Hyde Park by Stanhope-gate."
376,"IIis countenance, despito its dentl-lika pualeness, had a noble and nsjestic cnst, ani his figure, though worn to the bone by as life of the seerest stnuy, nud bent by the woight of yenrs, must hase been once lofty and commauding.","His countenance, despite its death-like paleness, had a noble and majestic cast; and his figure, though worn to the bone by a life of the severest study, and bent by the weight of years, must have been once lofty and commanding.","IIis countenance, despite its dentl-lika paleness, had a noble and majestic inst, ani his figure, though worn to the bone by as life of the sheerest strum, and bent by the weight of years, must have been once lofty and commanding."
377,"Thero's dates as far back as that.'' e Five-an'-sixty devilsI'' ocried the Sandman; `` there must be some mistake i' tho reckonin' there,'' No, it's all clenr an' reg'lar,'' rejoined the other; ``and that doesn't seem to bo the end of it neither.","“There’s dates as far back as that.” “Five-an’-sixty devils!” cried the Sandman; “there must be some mistake i’ the reckonin’ there.” “No, it’s all clear an’ reg’lar,” rejoined the other; “and that doesn’t seem to be the end of it neither.","Thero's dates as far back as that.'' e Five-an'-sixty devils'' cried the Sandman; `` there must be some mistake i' tho reckonin' there,'' No, it's all clear an' reg'lar,'' rejoined the other; ``and that doesn't seem to bo the end of it neither."
378,"Thorneyeroft, eagerly.",Thorneycroft eagerly.,"Thorneyeroft, eagerly."
379,"But how, in the name of wonder, do you come to know it2"" e Ve'e got summat, at last,'' said the Tinker, with a self-applauding glance at his friends.","But how, in the name of wonder, do you come to know it?” “Ve’ve got summat, at last,” said the Tinker, with a self-applauding glance at his friends.","But how, in the name of wonder, do you come to know it2"" e Ve'e got summit, at last,'' said the Tinker, with a self-applauding glance at his friends."
380,"Maitlanl, had arried to take charge of her during her fuather's absence.","Maitland, had arrived to take charge of her during her father’s absence.","Maitlanl, had arrived to take charge of her during her fuather's absence."
381,"HBesides, yon are likely to see some noticeable characters, for Mr.","Besides, you are likely to see some noticeable characters, for Mr.","HBesides, yon are likely to see some noticeable characters, for Mr."
382,"if you could but hve a glimpse of Old London, you would not bo able to endurae the modern city.","if you could but have a glimpse of Old London, you would not be able to endure the modern city.","if you could but have a glimpse of Old London, you would not bo able to endure the modern city."
383,"Let me remain in this state if you have any pity-or despatch me, for my late ngony was almost insupportable,'' You are cnred for by one who hns greater skill than any chirurgeon in London,'' replied Buldred.","Let me remain in this state if you have any pity—or despatch me, for my late agony was almost insupportable.” “You are cared for by one who has greater skill than any chirurgeon in London,” replied Baldred.","Let me remain in this state if you have any pity-or despatch me, for my late agony was almost insupportable,'' You are cared for by one who has greater skill than any surgeon in London,'' replied Buldred."
384,"Unable to shake off the gloom which had stolen over him, Auriol toeok his leae, promising to meet Mr.","Unable to shake off the gloom which had stolen over him, Auriol took his leave, promising to meet Mr.","Unable to shake off the gloom which had stolen over him, Auriol took his lead, promising to meet Mr."
385,"His gaze was fixed npon vacancy-if that can be enlled vacsney, which to him was filled with vivrid images.",His gaze was fixed upon vacancy—if that can he called vacancy which to him was filled with vivid images.,"His gaze was fixed npon vacancy-if that can be called disney, which to him was filled with vivid images."
386,Thorneyecroft grouned aloud.,Thorneycroft groaned aloud.,Thorneyecroft groaned aloud.
387,"Thorneyeroft heard the Tinker and the Sandman take their places near him, bnt not remarking the voice of Reeks, concludel that he must have got outside.","Thorneycroft heard the Tinker and the Sandman take their places near him, but not remarking the voice of Reeks, concluded that he must have got outside.","Thorneyeroft heard the Tinker and the Sandman take their places near him, bnt not remarking the voice of Reeks, concluded that he must have got outside."
388,"Darey looks as if he were suffering from mental anxiety rather than from bodily ailment,'' she replied, timidly.","Darcy looks as if he were suffering from mental anxiety rather than from bodily ailment,” she replied timidly.","Darey looks as if he were suffering from mental anxiety rather than from bodily ailment,'' she replied, timidly."
389,or nigh fifty years after that fatal night I haso been making fruitlcss experiments.,For nigh fifty years after that fatal night I have been making fruitless experiments.,or nigh fifty years after that fatal night I had been making fruitless experiments.
390,"Left alone, Auriol groaned aloud, and covered his faca witl his hands.","Left alone, Auriol groaned aloud, and covered his face with his hands.","Left alone, Auriol groaned aloud, and covered his face with his hands."
391,"I Telpedl to conrey him to the laboratory, where I left him with the doctor, who wss busy witl his experiments.","I helped to convey him to the laboratory, where I left him with the doctor, who was busy with his experiments.","I Telpedl to convey him to the laboratory, where I left him with the doctor, who wss busy with his experiments."
392,Ono of them was remarknble for his dwarfish astature and strange withered fetures.,One of them was remarkable for his dwarfish stature and strange withered features.,Ono of them was remarkable for his dwarfish stature and strange withered features.
393,"e Yon must control your impatience, my dear young friend.","“You must control your impatience, my dear young friend.","e Yon must control your impatience, my dear young friend."
394,Ponr it down my throat.,“Pour it down my throat.,Ponr it down my throat.
395,"On the tablo stood s phial, from which n strong spirituons odonr exhaled; but it was empty.","On the table stood a phial, from which a strong spirituous odour exhaled; but it was empty.","On the table stood s phial, from which n strong spirituous odor exhaled; but it was empty."
396,"But whoever its occupant was, and whatsoever his pursnits, the good things of the world were not altogether neglected by him, as was proed by a table spread with viands, and furnishod with glasses, together with a couple of taper-necked bottles.","But whoever its occupant was, and whatsoever his pursuits, the good things of the world were not altogether neglected by him, as was proved by a table spread with viands, and furnished with glasses, together with a couple of taper-necked bottles.","But whatever its occupant was, and whatsoever his pursuits, the good things of the world were not altogether neglected by him, as was proud by a table spread with viands, and furnished with glasses, together with a couple of taper-necked bottles."
397,"If youre taken, you'll share Ariol's fate.'' te Oh, Lord1","“If you’re taken, you’ll share Auriol’s fate.” “O Lord!","If not taken, you'll share Ariol's fate.'' te Oh, Lord1"
398,The Sandman jumped down.,The Sandman jumped down.,The Sandman jumped down.
399,But you know me too well to suppose that I meritsueh a designation.,“But you know me too well to suppose that I merit such a designation.,But you know me too well to suppose that I merits a designation.
400,"t Make yourself essy; I have no such intention,'' reioined Reeks, sternly.","“Make yourself easy; I have no such intention,” rejoined Reeks sternly.","t Make yourself messy; I have no such intention,'' rejoined Reeks, sternly."
401,"Thorneyeroft followod, a few paces behind them.","Thorneycroft followed, a few paces behind them.","Thorneyeroft followed, a few paces behind them."
402,"Tho very atmosphere wns different from that which wo now breathe, charged with the smoke of myriads of sea-coul fires; and the old picturesquo houses had a clarm about them, which the presenut habitations, however commodious, altogether wunt.'' You talk like one o' them smart chaps thoey calls, and werry properly, penny-a-liars,'' obsered Ginger.","The very atmosphere was different from that which we now breathe, charged with the smoke of myriads of sea-coal fires; and the old picturesque houses had a charm about them, which the present habitations, however commodious, altogether want.” “You talk like one o’ them smart chaps they calls, and werry properly, penny-a-liars,” observed Ginger.","Tho very atmosphere was different from that which wo now breathe, charged with the smoke of myriads of sea-coul fires; and the old picturesque houses had a alarm about them, which the present habitations, however commodious, altogether cunt.'' You talk like one o' them smart chaps thou calls, and werry properly, penny-a-liars,'' observed Ginger."
403,"Vell, she lost it; and, somehow or other, I fonnd it.","Vell, she lost it; and, somehow or other, I found it.","Vell, she lost it; and, somehow or other, I fonnd it."
404,"`At one time I was called Flapdragon-at another, Old Parr-but my real uame, I believe, is Morse-Gregory Morse.'' An Old Bailey answer,'' cried MIr. Trigge, shaking his head.","“At one time I was called Flapdragon—at another, Old Parr—but my real name, I believe, is Morse—Gregory Morse.” “An Old Bailey answer,” cried Mr. Trigge, shaking his head.","`At one time I was called Flapdragon-at another, Old Parr-but my real name, I believe, is Morse-Gregory Morse.'' An Old Bailey answer,'' cried MIr. Trigge, shaking his head."
405,Ill take care to hae plenty of assistance.,“I’ll take care to have plenty of assistance.,Ill take care to hae plenty of assistance.
406,"They made signs, therefore, to each other not to let Auriol escape, and one of them, raising the dwarf's head on his knee, produced a flask, and poured aeome brandy from it down his throat, while othors chafed his hands.","They made signs, therefore, to each other not to let Auriol escape, and one of them, raising the dwarf’s head on his knee, produced a flask, and poured some brandy from it down his throat, while others chafed his hands.","They made signs, therefore, to each other not to let Auriol escape, and one of them, raising the dwarf's head on his knee, produced a flask, and poured the brandy from it down his throat, while another chafed his hands."
407,"Our meeting must be brief,'' he said.","“Our meeting must be brief,” he said.","Our meeting must be brief,'' he said."
408,"Thorneycroft, who had hitherto had some diffienlty in repressing his anger, now began to give vent to it in muttered threats and complaints.","Thorneycroft, who had hitherto had some difficulty in repressing his anger, now began to give vent to it in muttered threats and complaints.","Thorneycroft, who had hitherto had some difficulty in repressing his anger, now began to give vent to it in muttered threats and complaints."
409,"As you advanced, piekiug your wny througl kennels flowing vith filth, TiIE DoG-rANCIER. 35 or over putrescent hcaps of rubbish and oyster-shells, all the repulsie and hideous features of toe place were displayed before you. There was something suvagely picturesue in the aspect of tho place, but its fecatares were too loathsome to be regarded with any other feeling than disgst.","As you advanced, picking your way through kennels flowing with filth, or over putrescent heaps of rubbish and oyster-shells, all the repulsive and hideous features of the place were displayed before you. There was something savagely picturesque in the aspect of the place, but its features were too loathsome to be regarded with any other feeling than disgust.","As you advanced, piecing your own through kennels flowing vith filth, TiIE DoG-rANCIER. 35 or over putrescent piles of rubbish and oyster-shells, all the repulsive and hideous features of toe place were displayed before you. There was something savagely picturesque in the aspect of tho place, but its features were too loathsome to be regarded with any other feeling than disgust."
410,"Eager to test the effect of the elixir, Auriol put his hand to his side.","Eager to test the effect of the elixir, Auriol put his hand to his side.","Eager to test the effect of the elixir, Auriol put his hand to his side."
411,"At first, finding himself in a large and most laxuriantlyfurmnished chamber, he was at a loss to conceive how he camo there, and it was somo timo before he could fully recal the mysterious events of the prevrious night.","At first, finding himself in a large and most luxuriantly-furnished chamber, he was at a loss to conceive how he came there, and it was some time before he could fully recall the mysterious events of the previous night.","At first, finding himself in a large and most laxuriantlyfurmnished chamber, he was at a loss to conceive how he camo there, and it was some time before he could fully recall the mysterious events of the previous night."
412,"Perpetunl lifo l-perpetual youth 1-what more ueed be desiroed 7'' Wwhat more, indeed 1'' cried Auriol.","Perpetual life!—perpetual youth!—what more need be desired?” “What more, indeed!” cried Auriol.","Perpetunl lifo l-perpetual youth 1-what more need be desired 7'' Wwhat more, indeed 1'' cried Auriol."
413,"Mfter remaining in tis posture for a few minutes, he was about to retire, when a loud crash arrested him, and he turned to see whence it proceeded.","After remaining in this posture for a few minutes, he was about to retire, when a loud crash arrested him, and he turned to see whence it proceeded.","Mfter remaining in his posture for a few minutes, he was about to retire, when a loud crash arrested him, and he turned to see whence it proceeded."
414,"He don't look so old now.'' That'a the cur'ousest part of it,'' sasid tho Tinker.","“He don’t look so old now.” “That’s the cur’ousest part of it,” said the Tinker.","He don't look so old now.'' That'a the cur'ousest part of it,'' says tho Tinker."
415,"MIocking laughter rang in her ears, succeeded by wuiling cries inexpressibly dreadful to hear.","Mocking laughter rang in her ears, succeeded by wailing cries inexpressibly dreadful to hear.","MIocking laughter rang in her ears, succeeded by wailing cries inexpressible dreadful to hear."
416,"I must fulfil my dcstiny.'' At this juncture a low growl broke from the dog, and, guided by the sound, the youthful couple beheld, standing near the gate, the tall dark man in the black cloak.","I must fulfil my destiny.” At this juncture a low growl broke from the dog, and, guided by the sound, the youthful couple beheld, standing near the gate, the tall dark man in the black cloak.","I must fulfil my destiny.'' At this juncture a low growl broke from the dog, and, guided by the sound, the youthful couple beheld, standing near the gate, the tall dark man in the black cloak."
417,A fearful cry resonnded throngh the chamber.,A fearful cry resounded through the chamber.,A fearful cry resounded through the chamber.
418,"It wos s gly warmint, but no matter for that-the creater had gained her heart.","It wos a ugly warmint, but no matter for that—the creater had gained her heart.","It wos s ugly varmint, but no matter for that-the greater had gained her heart."
419,"Aa I have already declared, a friend,'' replied Reeks.","“As I have already declared, a friend,” replied Reeks.","Aa I have already declared, a friend,'' replied Reeks."
420,Conceive my despair at beholding the fair imsge of my idolatry destroyed-dofaeed by my hand.,Conceive my despair at beholding the fair image of my idolatry destroyed—defaced by my hand.,Conceive my despair at beholding the fair image of my idolatry destroyed-dofaeed by my hand.
421,His companion followed him.,His companion followed him.,His companion followed him.
422,"At the time of is introduction to the reader, MIr. Trigge had just advertiscd for an assistant, his present young man, Rutherfrd Watts, bcing abont to leave hi, and set up for hiself in Canterbury.","At the time of his introduction to the reader, Mr. Trigge had just advertised for an assistant, his present young man, Rutherford Watts, being about to leave him, and set up for himself in Canterbury.","At the time of is introduction to the reader, MIr. Trigge had just advertised for an assistant, his present young man, Rutherfrd Watts, acing abont to leave hi, and set up for himself in Canterbury."
423,"If I were a judge, Td hang such a careless fcllow.'' Sarre him right 1'' screamed Mag-`` sarve him right t' Beg pardon, sir,'' cried Watts.","“If I were a judge, I’d hang such a careless fellow.” “Sarve him right!” screamed Mag—“sarve him right!” “Beg pardon, sir,” cried Watts.","If I were a judge, Td hang such a careless fellow.'' Sarre him right 1'' screamed Mag-`` serve him right t' Beg pardon, sir,'' cried Watts."
424,": Otherwise, there is no chance of sucecess.'' Bo it as you will,'' retumned Thorneyeroft, I must e All then is clearly understood,'' said Reeks, `' and we can now set out,'' Upon this, Ginger eonducted Mr.","“Otherwise, there is no chance of success.” “Be it as you will,” returned Thorneycroft, “I must perforce agree.” “All then is clearly understood,” said Reeks, “and we can now set out.” Upon this, Ginger conducted Mr.",": Otherwise, there is no chance of success.'' Bo it as you will,'' returned Thorneyeroft, I must e All then is clearly understood,'' said Reeks, `' and we can now set out,'' Upon this, Ginger conducted Mr."
425,They are unreasonable beings.,“They are unreasonable beings.,They are unreasonable beings.
426,te He loved tho femi 51 AUIIOL. xine specions as well as the ca-nine specious.,“He loved the femi- nine specious as well as the ca- nine specious.,te He loved tho semi 51 AUIIOL. nine specious as well as the ca-nine specious.
427,"All, to the very judges themselves, have thoir hair cut, or their wigs dressed by im.","All, to the very judges themselves, have their hair cut, or their wigs dressed, by him.","All, to the very judges themselves, have their hair cut, or their wigs dressed by im."
428,"Alays,'' replied CGingcr.","“Alvays,” replied Ginger.","Alays,'' replied CGingcr."
429,"Composed of the lunar stones, the solar stones, and the mercurial stones-preparetd according to the instructions of the Ruabbi Ben Lucca,-namely, by the separation of the pure from the impure, the volatilisation of the fixed, and the fixing of the olatile; this elixir shall renew my youth, like that of the eagle, and give me length of days greater than any patriarch ever enjoyed.'' Whils thns speaking, he held up the sparkling liquid, and gazed at it like a Persian worshipping the sun.","Composed of the lunar stones, the solar stones, and the mercurial stones—prepared according to the instructions of the Rabbi Ben Lucca—namely, by the separation of the pure from the impure, the volatilisation of the fixed, and the fixing of the volatile—this elixir shall renew my youth, like that of the eagle, and give me length of days greater than any patriarch ever enjoyed.” While thus speaking, he held up the sparkling liquid, and gazed at it like a Persian worshipping the sun.","Composed of the lunar stones, the solar stones, and the mercurial stones-preparetd according to the instructions of the Ruabbi Ben Lucca,-namely, by the separation of the pure from the impure, the overutilisation of the fixed, and the fixing of the volatile; this elixir shall renew my youth, like that of the eagle, and give me length of days greater than any patriarch ever enjoyed.'' Whils this speaking, he held up the sparkling liquid, and gazed at it like a Persian worshipping the sun."
430,"e You hav'n't eold yourself, like Doctor Forster-ch 2 Fanstas, my dear Ginger-not Forster,'' corrected Old Parr.","“You haven’t sold yourself, like Doctor Forster—eh?” “Faustus, my dear Ginger—not Forster,” corrected Old Parr.","e You hav'n't old yourself, like Doctor Forster-ch 2 Fanstas, my dear Ginger-not Forster,'' corrected Old Parr."
431,The floor was strewn with alchemieal implemente-the table was covered with mystic parchments inscribed with cabalistic characters-the furnace stood in the corner-crucibles and cucurbites decorated thoe chimneyboard--the sphere and brazen lamp hung from the ceilingthe skoletons grinned from behind the chimney-corner-all as there as le had seen it before,The floor was strewn with alchemical implements—the table was covered with mystic parchments inscribed with cabalistic characters—the furnace stood in the corner—crucibles and cucurbites decorated the chimney-board—the sphere and brazen lamp hung from the ceiling—the skeletons grinned from behind the chimney-corner—all was there as he had seen it before!,The floor was strewn with alchemical implemente-the table was covered with mystic parchments inscribed with cabalistic characters-the furnace stood in the corner-crucibles and cucurbita decorated thoe chimneystack--the sphere and brazen lamp hung from the ceiling skeletons grinned from behind the chimney-corner-all as there as le had seen it before
432,"And sare him right, too,'' said Ginger.","“And sarve him right, too,” said Ginger.","And sare him right, too,'' said Ginger."
433,"I lidn't gie ayf her wally-not hsyf, said Ginger; and if so be you don't liko her in a nontl's time, Ill buy her back agin from you. You'll alvays find me herealvays.","“I didn’t give hayf her wally—not hayf,” said Ginger; “and if so be you don’t like her in a month’s time, I’ll buy her back again from you. You’ll alvays find me here—alvays.","I lidn't gie ayr her wally-not yet, said Ginger; and if so be you don't like her in a nontl's time, Ill buy her back again from you. You'll always find me hereabouts."
434,"On tho eontrary, he seemed endowed with preternatural strength.","On the contrary, he seemed endowed with preternatural strength.","On tho contrary, he seemed endowed with preternatural strength."
435,"Wot age should you take him to be2'' Vy, five-an'-twenty at the outside,'' replied the Sandman.","Wot age should you take him to be?” “Vy, five-an’-twenty at the outside,” replied the Sandman.","Wot age should you take him to be2'' Vy, five-an'-twenty at the outside,'' replied the Sandman."
436,MIy Godl,“My God!,MIy Godl
437,"Slightly altering his position, the Sandman caught sight of a figure standing upon the planks above them.","Slightly altering his position, the Sandman caught sight of a figure standing upon the planks above them.","Slightly altering his position, the Sandman caught sight of a figure standing upon the planks above them."
438,"Sometimes a party'll vant a couple o' dogs for the shootin' season; and thon ve asks, Vich vay are ou a-goin'--into Surrey or ent7' And accordin' as tho answer is given ve arranges our plans.'' Vell, yourn appears a profitable and safe employment, I must say,'' remarked thce Sandman.","“Sometimes a party’ll vant a couple o’ dogs for the shootin’ season; and then ve asks, ‘Vich vay are you a-goin’—into Surrey or Kent?’ And accordin’ as the answer is given ve arranges our plans.” “Vell, yourn appears a profitable and safe employment, I must say,” remarked the Sandman.","Sometimes a party'll want a couple o' dogs for the shootin' season; and then ve asks, Vich may are ou a-goin'--into Surrey or ent7' And accordin' as tho answer is given ve arranges our plans.'' Vell, yours appears a profitable and safe employment, I must say,'' remarked the Sandman."
439,Rongemont-go with] him.'' ` Mr.,Rougemont—go with him.” “Mr.,Rongemont-go with] him.'' ` Mr.
440,"Such being the aspect of the Rookery in the dasytime, what must it hare been when crowded with its denizens at night1","Such being the aspect of the Rookery in the daytime, what must it have been when crowded with its denizens at night!","Such being the aspect of the Rookery in the daytime, what must it hare been when crowded with its denizens at night1"
441,"I deelare we seem to bo returning to the point we started from.'' I think we are turning ronnd ourselves,'' cried Thorney croft, in an agony of fright.","I declare we seem to be returning to the point we started from.” “I think we are turning round ourselves,” cried Thorneycroft, in an agony of fright.","I declare we seem to bo returning to the point we started from.'' I think we are turning around ourselves,'' cried Thorney croft, in an agony of fright."
442,Retreat was now impossible.,Retreat was now impossible.,Retreat was now impossible.
443,What new danger is at hand1 inuired the iron-merehant.,What new danger is at hand?” inquired the iron-merchant.,What new danger is at hand1 squired the iron-merehant.
444,"I saw at once he had drunk the elixir.'' Ah :-ah lI'' exclaimed tho Tinker, with a knowing glance at his companions, who returnel it with gestures of cqual significance.","I saw at once he had drunk the elixir.” “Ah!—ah!” exclaimed the Tinker, with a knowing glance at his companions, who returned it with gestures of equal significance.","I saw at once he had drunk the elixir.'' Ah :-ah lI'' exclaimed tho Tinker, with a knowing glance at his companions, who returned it with gestures of equal significance."
445,"On the entrancc of the Sandman and the Tinker, he nolded familinrly to them, and withas sly look inquired-e Vell, my 'artics-ot luk 2' Oh, pretty midllin','' replied the Sandan, grnffly.","On the entrance of the Sandman and the Tinker, he nodded familiarly to them, and with a sly look inquired—“Vell, my ‘arties—wot luck?” “Oh, pretty middlin’,” replied the Sandman gruffly.","On the entrance of the Sandman and the Tinker, he folded familiarly to them, and withal sly look inquired-e Vell, my 'artics-ot lug 2' Oh, pretty midline','' replied the Sandan, gruffly."
446,"On glancing towards the mystic volame, what was my surprise to see the page free from blood 1' Auriol uttered a slight exclamation, and gazed at the book with superstitious awe.","On glancing towards the mystic volume, what was my surprise to see the page free from blood!” Auriol uttered a slight exclamation, and gazed at the book with superstitious awe.","On glancing towards the mystic flame, what was my surprise to see the page free from blood 1' Auriol uttered a slight exclamation, and gazed at the book with superstitious awe."
447,That sounds awful.,“That sounds awful.,That sounds awful.
448,"If you will hae it so-certsinly,'' replied the other.","“If you will have it so—certainly,” replied the other.","If you will hae it so-certsinly,'' replied the other."
449,"Night and day ho worked at the operation;-night and day I laboured with him, until at last we were both brought to the verge of the grare in our search after immortality.","Night and day he worked at the operation;—night and day I laboured with him, until at last we were both brought to the verge of the grave in our search after immortality.","Night and day ho worked at the operation;-night and day I laboured with him, until at last we were both brought to the verge of the grave in our search after immortality."
450,Their hands were crossea upon their breasts.,Their hands were crossed upon their breasts.,Their hands were crossed upon their breasts.
451,"s We shall be no longer the great-grandsire and his descendant, but friends --companions-equals,-equals in age, strength, activity, beauty, fortune-for youth is fortnne-hal","“We shall be no longer the great-grandsire and his descendant, but friends—companions—equals,—equals in age, strength, activity, beauty, fortune—for youth is fortune—ha!","s We shall be no longer the great-grandsire and his descendant, but friends --companions-equals,-equals in age, strength, activity, beauty, fortune-for youth is fortnne-hal"
452,:He'a a good-lookin' young follor that.,“He’s a good-lookin’ young feller that.,:He'a a good-lookin' young follow that.
453,"Talbot, who held out both his hands to Auriol, and professed the greatest delight to see him.","Talbot, who held out both his hands to Auriol, and professed the greatest delight to see him.","Talbot, who held out both his hands to Auriol, and professed the greatest delight to see him."
454,"From this hall four side doors opened, apparently communicating with differont chambers, threo of wlich were cautionsly tried by Reeks, but they proed to be fastened.","From this hall four side doors opened, apparently communicating with different chambers, three of which were cautiously tried by Reeks, but they proved to be fastened.","From this hall four side doors opened, apparently communicating with different chambers, three of which were cautiously tried by Reeks, but they had to be fastened."
455,"Uttering a joyful cry, he seized the ring, and drew the stone forward without difficulty, disclosing an open space beyond it.","Uttering a joyful cry, he seized the ring, and drew the stone forward without difficulty, disclosing an open space beyond it.","Uttering a joyful cry, he seized the ring, and drew the stone forward without difficulty, disclosing an open space beyond it."
456,There was a mixture of the grotesque and terribloe abont them.,There was a mixture of the grotesque and terrible about them.,There was a mixture of the grotesque and terrible abont them.
457,"You persuaded me to come out with] you, in the hope of meeting Mr.","“You persuaded me to come out with you, in the hope of meeting Mr.","You persuaded me to come out with] you, in the hope of meeting Mr."
458,"One eening they walked forth together, and almost nnconsciouly directed their steps towards tho river.","One evening they walked forth together, and almost unconsciously directed their steps towards the river.","One evening they walked forth together, and almost unconsciously directed their steps towards tho river."
459,"The terror occasioned by theso fantasics, combined with the potency of tho draught, took away my senses.","The terror occasioned by these fantasies, combined with the potency of the draught, took away my senses.","The terror occasioned by these fantasies, combined with the potency of tho draught, took away my senses."
460,"I hear them close behind us.'' And as he spoke, shouts, and the noise of rapidlyapproaching footsteps, resounded along the passage.","“I hear them close behind us.” And as he spoke, shouts, and the noise of rapidly-approaching footsteps, resounded along the passage.","I hear them close behind us.'' And as he spoke, shouts, and the noise of rapidlyapproaching footsteps, resounded along the passage."
461,No man's dog is safe.,“No man’s dog is safe.,No man's dog is safe.
462,"A man told me he'd hae that afore long.' Seein' the gent stare, Mr.","A man told me he’d have that afore long.’ Seein’ the gent stare, Mr.","A man told me he'd hae that before long.' Seein' the gent stare, Mr."
463,"But, remember, on the seventh night from this I shall require Edith Talbot from you 1' Wheroe are you, fiend 7'' demanded Auriol, gszing around, furiously.","But remember, on the seventh night from this I shall require Edith Talbot from you!” “Where are you, fiend?” demanded Auriol, gazing around furiously.","But, remember, on the seventh night from this I shall require Edith Talbot from you 1' Wheroe are you, fiend 7'' demanded Auriol, looking around, furiously."
464,"IThe sight was so surprising, that I dropped tle sack I ad brought with me,'' pursued Darey.","“The sight was so surprising that I dropped the sack I had brought with me,” pursued Darcy.","IThe sight was so surprising, that I dropped tle sack I ad brought with me,'' pursued Darey."
465,"Leavring his four-footed attendants with the landlord, with whom he was aequainted, Ginger 2 cnused tho party to be shown into a private room, and, on entering it, Auriol flung himself into a chair, while tho dogtt","Leaving his four-footed attendants with the landlord, with whom he was acquainted, Ginger caused the party to be shown into a private room, and, on entering it, Auriol flung himself into a chair, while the dog-fancier stationed himself near the door.","Leavring his four-footed attendants with the landlord, with whom he was acquainted, Ginger 2 caused tho party to be shown into a private room, and, on entering it, Auriol flung himself into a chair, while tho dogtrot"
466,"IIe listened intently, but not tho slightest sonnd reached his enrs.","He listened intently, but not the slightest sound reached his ears.","IIe listened intently, but not tho slightest sound reached his ears."
467,`Sign 1'' thundered the voice.,“Sign!” thundered the voice.,`Sign 1'' thundered the voice.
468,Thorneyeroft.,Thorneycroft.,Thorneyeroft.
469,"You see you oght to blame him, not mo,'' said Rougemont, with a derisie langh.","“You see you ought to blame him, not me,” said Rougemont, with a derisive laugh.","You see you want to blame him, not mo,'' said Rougemont, with a derisive laugh."
470,The surface of the masonry was as smooth and fresh as if the chisel had only just left it.,The surface of the masonry was as smooth and fresh as if the chisel had only just left it.,The surface of the masonry was as smooth and fresh as if the chisel had only just left it.
471,"Doctor Lamb, meanwhile, steadily pursned his task, though he ever and anon paused, to fling certain roots and drugs upon the clarcoal.","Doctor Lamb, meanwhile, steadily pursued his task, though he ever and anon paused, to fling certain roots and drugs upon the charcoal.","Doctor Lamb, meanwhile, steadily pursued his task, though he ever and anon paused, to fling certain roots and drugs upon the charcoal."
